location,technology,time_step,availability
BEL,SunPV,609,0.006
BEL,SunPV,610,0.028
BEL,SunPV,611,0.056
BEL,SunPV,612,0.075
BEL,SunPV,613,0.079
BEL,SunPV,614,0.077
BEL,SunPV,615,0.073
BEL,SunPV,616,0.048
BEL,SunPV,617,0.004
BEL,SunPV,618,0
BEL,SunPV,619,0
BEL,SunPV,620,0
BEL,SunPV,621,0
BEL,SunPV,622,0
BEL,SunPV,623,0
BEL,SunPV,624,0
BEL,SunPV,625,0
BEL,SunPV,626,0
BEL,SunPV,627,0
BEL,SunPV,628,0
BEL,SunPV,629,0
BEL,SunPV,630,0
BEL,SunPV,631,0
BEL,SunPV,632,0
BEL,SunPV,633,0.017
BEL,SunPV,634,0.085
BEL,SunPV,635,0.162
BEL,SunPV,636,0.153
BEL,SunPV,637,0.132
BEL,SunPV,638,0.162
BEL,SunPV,639,0.144
BEL,SunPV,640,0.09
BEL,SunPV,641,0.008
BEL,SunPV,642,0
BEL,SunPV,643,0
BEL,SunPV,644,0
BEL,SunPV,645,0
BEL,SunPV,646,0
BEL,SunPV,647,0
BEL,SunPV,648,0
BEL,SunPV,649,0
BEL,SunPV,650,0
BEL,SunPV,651,0
BEL,SunPV,652,0
BEL,SunPV,653,0
BEL,SunPV,654,0
BEL,SunPV,655,0
BEL,SunPV,656,0
BEL,SunPV,657,0.027
BEL,SunPV,658,0.052
BEL,SunPV,659,0.047
BEL,SunPV,660,0.069
BEL,SunPV,661,0.067
BEL,SunPV,662,0.042
BEL,SunPV,663,0.031
BEL,SunPV,664,0.017
BEL,SunPV,665,0
BEL,SunPV,666,0
BEL,SunPV,667,0
BEL,SunPV,668,0
BEL,SunPV,669,0
BEL,SunPV,670,0
BEL,SunPV,671,0
BEL,SunPV,672,0
BEL,SunPV,673,0
BEL,SunPV,674,0
BEL,SunPV,675,0
BEL,SunPV,676,0
BEL,SunPV,677,0
BEL,SunPV,678,0
BEL,SunPV,679,0
BEL,SunPV,680,0
BEL,SunPV,681,0.064
BEL,SunPV,682,0.135
BEL,SunPV,683,0.19
BEL,SunPV,684,0.154
BEL,SunPV,685,0.156
BEL,SunPV,686,0.132
BEL,SunPV,687,0.133
BEL,SunPV,688,0.102
BEL,SunPV,689,0.009
BEL,SunPV,690,0
BEL,SunPV,691,0
BEL,SunPV,692,0
BEL,SunPV,693,0
BEL,SunPV,694,0
BEL,SunPV,695,0
BEL,SunPV,696,0
BEL,SunPV,697,0
BEL,SunPV,698,0
BEL,SunPV,699,0
BEL,SunPV,700,0
BEL,SunPV,701,0
BEL,SunPV,702,0
BEL,SunPV,703,0
BEL,SunPV,704,0
BEL,SunPV,705,0.024
BEL,SunPV,706,0.085
BEL,SunPV,707,0.147
BEL,SunPV,708,0.227
BEL,SunPV,709,0.231
BEL,SunPV,710,0.172
BEL,SunPV,711,0.118
BEL,SunPV,712,0.084
BEL,SunPV,713,0.007
BEL,SunPV,714,0
BEL,SunPV,715,0
BEL,SunPV,716,0
BEL,SunPV,717,0
BEL,SunPV,718,0
BEL,SunPV,719,0
BEL,SunPV,720,0
BEL,SunPV,721,0
BEL,SunPV,722,0
BEL,SunPV,723,0
BEL,SunPV,724,0
BEL,SunPV,725,0
BEL,SunPV,726,0
BEL,SunPV,727,0
BEL,SunPV,728,0
BEL,SunPV,729,0.073
BEL,SunPV,730,0.189
BEL,SunPV,731,0.243
BEL,SunPV,732,0.221
BEL,SunPV,733,0.197
BEL,SunPV,734,0.158
BEL,SunPV,735,0.146
BEL,SunPV,736,0.109
BEL,SunPV,737,0.012
BEL,SunPV,738,0
BEL,SunPV,739,0
BEL,SunPV,740,0
BEL,SunPV,741,0
BEL,SunPV,742,0
BEL,SunPV,743,0
BEL,SunPV,744,0
BEL,SunPV,745,0
BEL,SunPV,746,0
BEL,SunPV,747,0
BEL,SunPV,748,0
BEL,SunPV,749,0
BEL,SunPV,750,0
BEL,SunPV,751,0
BEL,SunPV,752,0
BEL,SunPV,753,0.034
BEL,SunPV,754,0.073
BEL,SunPV,755,0.064
BEL,SunPV,756,0.058
BEL,SunPV,757,0.059
BEL,SunPV,758,0.056
BEL,SunPV,759,0.083
BEL,SunPV,760,0.06
BEL,SunPV,761,0.009
BEL,SunPV,762,0
BEL,SunPV,763,0
BEL,SunPV,764,0
BEL,SunPV,765,0
BEL,SunPV,766,0
BEL,SunPV,767,0
BEL,SunPV,768,0
BEL,SunPV,769,0
BEL,SunPV,770,0
BEL,SunPV,771,0
BEL,SunPV,772,0
BEL,SunPV,773,0
BEL,SunPV,774,0
BEL,SunPV,775,0
BEL,SunPV,776,0
BEL,SunPV,777,0.056
BEL,SunPV,778,0.157
BEL,SunPV,779,0.224
BEL,SunPV,780,0.222
BEL,SunPV,781,0.225
BEL,SunPV,782,0.21
BEL,SunPV,783,0.165
BEL,SunPV,784,0.104
BEL,SunPV,785,0.008
BEL,SunPV,786,0
BEL,SunPV,787,0
BEL,SunPV,788,0
BEL,SunPV,789,0
BEL,SunPV,790,0
BEL,SunPV,791,0
BEL,SunPV,792,0
BEL,SunPV,793,0
BEL,SunPV,794,0
BEL,SunPV,795,0
BEL,SunPV,796,0
BEL,SunPV,797,0
BEL,SunPV,798,0
BEL,SunPV,799,0
BEL,SunPV,800,0
BEL,SunPV,801,0.039
BEL,SunPV,802,0.132
BEL,SunPV,803,0.229
BEL,SunPV,804,0.3
BEL,SunPV,805,0.285
BEL,SunPV,806,0.213
BEL,SunPV,807,0.141
BEL,SunPV,808,0.099
BEL,SunPV,809,0.014
BEL,SunPV,810,0
BEL,SunPV,811,0
BEL,SunPV,812,0
BEL,SunPV,813,0
BEL,SunPV,814,0
BEL,SunPV,815,0
BEL,SunPV,816,0
BEL,SunPV,817,0
BEL,SunPV,818,0
BEL,SunPV,819,0
BEL,SunPV,820,0
BEL,SunPV,821,0
BEL,SunPV,822,0
BEL,SunPV,823,0
BEL,SunPV,824,0.001
BEL,SunPV,825,0.076
BEL,SunPV,826,0.216
BEL,SunPV,827,0.355
BEL,SunPV,828,0.42
BEL,SunPV,829,0.365
BEL,SunPV,830,0.269
BEL,SunPV,831,0.201
BEL,SunPV,832,0.141
BEL,SunPV,833,0.019
BEL,SunPV,834,0
BEL,SunPV,835,0
BEL,SunPV,836,0
BEL,SunPV,837,0
BEL,SunPV,838,0
BEL,SunPV,839,0
BEL,SunPV,840,0
BEL,SunPV,841,0
BEL,SunPV,842,0
BEL,SunPV,843,0
BEL,SunPV,844,0
BEL,SunPV,845,0
BEL,SunPV,846,0
BEL,SunPV,847,0
BEL,SunPV,848,0.001
BEL,SunPV,849,0.064
BEL,SunPV,850,0.151
BEL,SunPV,851,0.226
BEL,SunPV,852,0.222
BEL,SunPV,853,0.189
BEL,SunPV,854,0.139
BEL,SunPV,855,0.101
BEL,SunPV,856,0.07
BEL,SunPV,857,0.009
BEL,SunPV,858,0
BEL,SunPV,859,0
BEL,SunPV,860,0
BEL,SunPV,861,0
BEL,SunPV,862,0
BEL,SunPV,863,0
BEL,SunPV,864,0
BEL,SunPV,865,0
BEL,SunPV,866,0
BEL,SunPV,867,0
BEL,SunPV,868,0
BEL,SunPV,869,0
BEL,SunPV,870,0
BEL,SunPV,871,0
BEL,SunPV,872,0.001
BEL,SunPV,873,0.061
BEL,SunPV,874,0.14
BEL,SunPV,875,0.216
BEL,SunPV,876,0.307
BEL,SunPV,877,0.42
BEL,SunPV,878,0.439
BEL,SunPV,879,0.386
BEL,SunPV,880,0.238
BEL,SunPV,881,0.04
BEL,SunPV,882,0
BEL,SunPV,883,0
BEL,SunPV,884,0
BEL,SunPV,885,0
BEL,SunPV,886,0
BEL,SunPV,887,0
BEL,SunPV,888,0
BEL,SunPV,889,0
BEL,SunPV,890,0
BEL,SunPV,891,0
BEL,SunPV,892,0
BEL,SunPV,893,0
BEL,SunPV,894,0
BEL,SunPV,895,0
BEL,SunPV,896,0.003
BEL,SunPV,897,0.108
BEL,SunPV,898,0.276
BEL,SunPV,899,0.405
BEL,SunPV,900,0.445
BEL,SunPV,901,0.412
BEL,SunPV,902,0.371
BEL,SunPV,903,0.254
BEL,SunPV,904,0.124
BEL,SunPV,905,0.014
BEL,SunPV,906,0
BEL,SunPV,907,0
BEL,SunPV,908,0
BEL,SunPV,909,0
BEL,SunPV,910,0
BEL,SunPV,911,0
BEL,SunPV,912,0
BEL,SunPV,913,0
BEL,SunPV,914,0
BEL,SunPV,915,0
BEL,SunPV,916,0
BEL,SunPV,917,0
BEL,SunPV,918,0
BEL,SunPV,919,0
BEL,SunPV,920,0.001
BEL,SunPV,921,0.047
BEL,SunPV,922,0.099
BEL,SunPV,923,0.118
BEL,SunPV,924,0.193
BEL,SunPV,925,0.224
BEL,SunPV,926,0.245
BEL,SunPV,927,0.216
BEL,SunPV,928,0.175
BEL,SunPV,929,0.037
BEL,SunPV,930,0
BEL,SunPV,931,0
BEL,SunPV,932,0
BEL,SunPV,933,0
